규격서명,규격종류,양산완료일자,제정기관,재고번호(NSN),부품관리번호,품명,적용장비명,구규격번호,ICS코드,공개여부,형상관리책임기관,조달예비판단담당,국산화개발상태,대체규격번호,하위품목수,제정일자,최종개정일자,폐지일자,도면번호,최종적합성검토일자,상태,최종개정차수
여군정모,KDS (국방/정식),,방위사업청,,9999M53710994,여군 정모,모자류,,61.040,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,2,1970-11-18,2021-01-25,,,2009-07-21,활성,13
방한화,KDS (국방/정식),,방위사업청,8430375066405,8430M51687951,"부츠,혹한용",혁화류,,95.020,전체공개,방위사업청-화학/의무물자류담당(고무/제화담당),미래전력사업표준자원관리팀-화학/의무물자류담당(고무/제화담당),,,3,1999-08-06,2017-03-08,2020-12-29,A70007721,2007-12-17,폐지,5
장교(장관 령관 위관) 예복용 견장,KDS (국방/정식),,방위사업청,,8455M52079106,장교(장관 령관 위관) 예복용 견장_임시,휘장류,,59.080.50,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,1,1971-04-17,2018-12-28,,8455-0005_,2010-02-22,활성,2
항공휘장,KDS (국방/정식),,방위사업청,8455371800657,8455M51499685,"배지,자격용","조종사,정비사 및 관제사용 휘장",,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,4,1963-02-26,2021-01-25,,A70009753,2024-03-04,활성,7
정근장(해군),KDS (국방/정식),,방위사업청,,9999M53792754,정근장(해군),휘장류,,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,2,1984-07-24,2022-10-13,,,2010-02-22,활성,3
ANT TIP,KDS (국방/정식),,방위사업청,,0000M51734788,안테나팁조립,무전기 세트(AN/VRC-12),,33.020,전체공개,방위사업청-통신장비/통신전자장비담당2(무선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당2(무선장비담당),,,3,1978-10-06,2021-12-21,,ANT-1,2004-12-13,활성,2
"백,잡용품용(의류대)",KDS (국방/정식),,방위사업청,8465371800653,8465M51686987,의류대,개인장구류,,61.020,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1977-08-30,2017-03-29,2020-12-29,A70005341,2024-03-04,폐지,11
공관(20리터용 각관),KDS (국방/정식),,방위사업청,,9999M53710561,공 관(20리터용 각관),"유류통, 철제공관류",,95.020,전체공개,방위사업청-유류담당,미래전력사업표준자원관리팀-유류담당,,,3,1972-07-08,2019-01-08,,,2010-12-17,활성,6
"표지장, 부대표지 및 특수요원용",KDS (국방/정식),,방위사업청,,9999M53792753,"표지장,부대표지 및 특수요원용",표지장,,03.160,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,2,1978-11-25,2022-10-13,,,2012-04-17,활성,9
육군 휘장,KDS (국방/정식),,방위사업청,8455371804543,8455M51688946,육군 휘장,육군에서 사용하는 휘장,,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,1,1980-01-30,2017-03-06,,A70009751,2007-02-05,활성,6
무궁화 금장,KDS (국방/정식),,방위사업청,8455371804544,8455M51688947,무궁화 금장,장교용 정복에 사용하는 무궁화 금장,,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,1,1980-01-30,2017-03-06,,A70009752,2009-09-09,활성,5
"휘장, 낙하산 및 폭발물처리사용",KDS (국방/정식),,방위사업청,,9999M53784853,"휘장, 낙하산 및 폭발물처리사용",표지장,,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,4,1984-03-23,2017-02-01,,,2008-05-30,활성,7
휘장 및 표지(해군용),KDS (국방/정식),,방위사업청,,9999M53784854,휘장 및 표지(해군용),표지장류,,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,53,1984-03-23,2021-01-25,,,2012-11-05,활성,6
모표,KDS (국방/정식),,방위사업청,,9999M53792755,모표,"군에서 정모 및 예모에 부착,사용하는 모표",,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,10,1995-04-11,2017-03-29,,,2024-03-04,활성,5
"침낭, 화섬솜",KDS (국방/정식),,방위사업청,8465375093549,8465M51686403,침낭,"군에서 사용하는 침낭, 화섬솜",,59.080,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,7,1986-12-10,2021-01-25,,A70003711,2011-09-26,활성,16
키보드,KDS (국방/정식),,방위사업청,743037A060161,7430M51656400,키보드,함내 통신장비(ASYM-3000),,95.020,전체공개,방위사업청-전자전/레이더장비담당(전자장비담당),미래전력사업표준자원관리팀-전자전/레이더장비담당(전자장비담당),,,1,2001-08-04,2017-03-21,,A50031851,2009-06-11,활성,1
"표준오일,분광계용",KDS (국방/정식),,방위사업청,,9999M53792726,"표준오일, 분광계용","시험장비, 분광계",,75.080,전체공개,방위사업청-유류담당,미래전력사업표준자원관리팀-유류담당,,,2,1999-08-29,2016-09-02,,,2009-05-13,활성,2
"스위치, 누름식",KDS (국방/정식),,방위사업청,5930003090816,5930M51714641,"스위치,누름식",해군용 함정,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,1,1988-03-21,2019-01-14,,A90002361,2008-04-22,활성,2
"식량,전투용,I형",KDS (국방/정식),,국방과학연구소,,8970M52079192,"식량, 전투용 Ⅰ형",전투식량,,67.230,전체공개,방위사업청-식량류담당,미래전력사업표준자원관리팀-식량류담당,,,1,1996-11-05,2021-01-25,,,,활성,11
스위치 토글식,KDS (국방/정식),,방위사업청,,9999M53792706,"스위치, 토글식",전자통신기기 공통,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,99,1995-05-09,2013-05-06,,,2024-03-04,활성,2
스위치 토글식,KDS (국방/정식),,방위사업청,,9999M53792707,"스위치, 토글식",전자통신기기 공통,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,28,1995-09-03,2019-12-03,,,2006-08-17,활성,2
"식량,전투용 II형",KDS (국방/정식),,국방과학연구소,,8970M52079193,"식량, 전투용, II형",전투식량,,67.040,전체공개,방위사업청-식량류담당,미래전력사업표준자원관리팀-식량류담당,,,1,1996-11-06,2019-10-28,,,,활성,11
"식량,특수용",KDS (국방/정식),,방위사업청,,8970M52079194,"식량, 특수용",전투식량,,67.040,전체공개,방위사업청-식량류담당,미래전력사업표준자원관리팀-식량류담당,,,1,1996-11-05,2021-01-25,,,,활성,8
"식량,즉각 취식형,전투용-1",KDS (국방/정식),,국방기술품질원,,8970M52079195,"식량,즉각 취식형,전투용-1_임시",전투식량,,67.040,전체공개,방위사업청-식량류담당,미래전력사업표준자원관리팀-식량류담당,,,1,2003-07-25,2022-04-29,,8970-4001,,활성,9
시멘트 고온 절연용,KDS (국방/정식),,해군,,5640M52076785,시멘트 고온 절연용_임시,단열재,,95.020,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-화학/의무물자류담당(의무물자담당),,,1,1983-07-18,,2020-12-29,,1999-11-18,폐지,0
축조립체,KDS (국방/정식),,육군,3040003320066,3040M51416289,"기어축,스퍼형",M48A2C,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,1977-04-22,,2018-08-24,7972959,2009-10-30,폐지,0
리테이너,KDS (국방/정식),,육군,2930007724710,2930M51414229,리테이너,M47,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,1,1977-09-29,,2018-08-24,7724710,2009-07-16,폐지,0
주파수 표준모듈,KDS (국방/정식),,해군,5820373002219,5820M51904137,"모듈,표준 주파수용",여파기(RF-505A),,95.020,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-통신장비/통신전자장비담당2(무선장비담당),, ,3,1983-03-10,1998-02-05,,N3002219-1,2022-09-27,비활성,1
"케이블조립체,특수목적용,전기용",KDS (국방/정식),,방위사업청,599537A008745,5995M51655038,50미터케이블,TAS-502,,33.020,전체공개,방위사업청-감시장비담당,미래전력사업표준자원관리팀-감시장비담당,,,1,1997-05-20,2014-01-21,,A50028841,2012-10-17,활성,1
로드조립체,KDS (국방/정식),,육군,3040007351626,3040M51405869,"연결링크,강체형",M47,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-전차담당,,,7,1984-08-27,,2018-08-24,7351623,2009-10-30,폐지,0
마이크로폰M132/SIC형,KDS (국방/정식),,해군,,9999M53728241,마이크로폰 M132/SIC형,함정방송용,,95.020,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-전자전/레이더장비담당(전자장비담당),,,4,1984-08-27,,2020-12-29,,2005-08-02,폐지,0
"덮개, 송수신기용",KDS (국방/정식),,방위사업청,5820372006470,5820M51685712,"덮개,송수신기용",무전기 세트(KAN/PRC-77),,33.020,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1985-06-03,2022-10-13,,A70001851,2011-09-21,활성,7
커넥터 플러그 전기용,KDS (국방/정식),,해군,,5935M52077336,커넥터 플러그 전기용_임시,전자통신기기(전기회로),,95.020,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,4,1984-05-24,2020-10-14,,,2023-12-28,활성,1
확성기세트 LS-548K,KDS (국방/정식),,국방과학연구소,5965375035515,5965M00082850,확성기,차기AM무전기 세트,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당2(무선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당2(무선장비담당),,,10,1995-09-15,2017-03-21,,50085323,2024-03-04,활성,2
"안테나 주머니, CW-503/PRC-25",KDS (국방/정식),,방위사업청,5820000867138,5820M52037076,,상자 전자전달용(CW-503/PRC-25),,33.020,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1979-03-31,2021-01-25,,SM-C-447163,2011-09-20,활성,8
전선,KDS (국방/정식),,공군,,9999M53716390,전선,전자통신기기(배선용),,95.020,전체공개,공군-형상통제담당,미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,3,1989-10-10,2021-07-23,,,2022-09-24,비활성,1
연결기전기식,KDS (국방/정식),,해군,,9999M53710313,"연결기, 전기식",대공레이다,,95.020,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-전자전/레이더장비담당(전자장비담당),,,17,1989-06-20,,2020-12-10,,2004-10-08,폐지,0
연결기 플러그용 전기용,KDS (국방/정식),,방위사업청,5935006439318,5935M51649579,"연결기,플러그형,전기용",통신장비,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,1,1998-08-05,2013-05-06,,A50018131,2009-03-18,비활성,1
"연결기,리셉터클형,전기용",KDS (국방/정식),,방위사업청,5935007545640,5935M51654034,"연결기,리셉터클형,전기용",통신전자장비,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,1,1998-08-05,2019-11-25,,A50027161,2009-03-19,활성,2
"전지,재충전 불가식 BA-6821AK",KDS (국방/정식),,국방기술품질원,6135375112826,6135M51956622,"전지,재충전불가식",전지,,95.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,1,2004-09-17,2017-12-14,,Q55027643,,활성,2
온도계,KDS (국방/정식),,해군,,6685M51907775,온도계,함정 공통,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,1,1983-04-08,,2020-12-29,N7825230,2005-01-25,폐지,0
압력게이지,KDS (국방/정식),,해군,,6685M51903688,압력게이지,함정 공통,,95.020,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,1,1988-11-03,,2020-04-29,N2462365,2004-12-30,폐지,0
면웨빙(보강),KDS (국방/정식),,국방과학연구소,,8305M52078896,면웨빙(보강)_임시,낙하산,,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,1,1976-12-31,2007-06-05,,,,비활성,1
버 클,KDS (국방/정식),,방위사업청,8315375046801,8315M51687666,버클,요대용,,61.040,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,2,1980-10-18,2020-07-21,,A70007121,2012-12-13,활성,11
나일론 코드,KDS (국방/정식),,국방과학연구소,,9999M53792740,나일론 코드,예비낙하산(T-10R),,59.080.99,전체공개,방위사업청-피복/장구류담당2(장구담당),미래전력사업표준자원관리팀-피복/장구류담당2(장구담당),,,2,1977-10-17,2014-04-04,,,2010-05-28,활성,3
브레이드,KDS (국방/정식),,방위사업청,,8305M52078933,,휘장류,,59.080.99,전체공개,방위사업청-피복/장구류담당2(복제담당),미래전력사업표준자원관리팀-피복/장구류담당2(복제담당),,,1,1980-02-22,2018-12-05,,,2011-08-16,활성,6
"솔레노이드,전기식",KDS (국방/정식),,국방기술품질원,,5945M53261059,"솔레노이드,전기식",K-9 자주포,,95.020,전체공개,방위사업청-전술차량담당,기반전력사업표준자원관리팀-전술차량담당,,,1,2015-11-23,2018-12-28,,Q65086347,,활성,1
회로카드 조립체,KDS (국방/정식),,해군,5998375365298,5998M53302790,회로카드 조립체,AN/SRN-15A,,95.020,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-통신장비/통신전자장비담당2(무선장비담당),,,52,2016-11-14,2022-10-13,,N51009613,2022-03-30,활성,1
"시일,밀봉형",KDC (국방/약식),,해군,,5330M53280699,"시일,밀봉형",잠수함(SS-I) 공기계통,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-04-20,,,N91010171,2022-03-30,비활성,0
"격막,작동기 밸브용,특수형",KDS (국방/정식),,해군,,4820M53347446,"격막,작동기 밸브용,특수형",압축공기계통 감압밸브,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-12-26,2022-10-13,,N91010191,2022-03-30,활성,2
"필터,유체용",KDS (국방/정식),,해군,,2940M53357336,"필터,유체용",MTU 12V 396,,23.100.60,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,12,2016-12-26,2022-10-13,,N91010197,2022-03-30,활성,2
오-링,KDS (국방/정식),,해군,,9999M53372045,오-링,잠수함(SS-2) 공기압축기,,23.140,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,3,2016-12-26,2022-10-13,,,2022-03-30,활성,1
KT-1 시뮬레이터(OH-FFS-KT1K),KDS (국방/정식),,방위사업청,,6910M53258822,"시뮬레이터,항공기용",KT-1 시뮬레이터,,49.060,전체공개,방위사업청-형상통제담당,기반전력사업표준자원관리팀-규격지원담당,,,1,2015-11-23,,,A83412681,,활성,0
오-링,KDS (국방/정식),,해군,,5331M53577550,오-링,"지휘통신체계(ICS-2001), 잠수함 레이더",,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,6,2017-03-31,2022-10-13,,N51009681,,활성,2
링-링,KDS (국방/정식),,해군,,5331M53372046,오-링,잠수함(SS-2) 레이다마스트,,31.260,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-12-26,,2020-10-14,N91010189,,폐지,0
"패킹,성형식",KDS (국방/정식),,해군,,5330M53577549,"패킹,성형식",잠수함(SS-1) 충전연결구,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2017-03-29,2022-10-13,,N91010209,,활성,2
회로카드조립체,KDS (국방/정식),,방위사업청,584037A081842,5840M51656670,회로카드 조립체,RX-1001M,,33.020,전체공개,육군-형상통제담당,미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,1,2014-12-24,2022-10-13,,A50032271,,활성,2
전원공급기,KDS (국방/정식),,방위사업청,613037A102075,6130M51656678,전원공급기,SCANTER MIL,,33.020,전체공개,방위사업청-통신장비/통신전자장비담당1(유선장비담당),미래전력사업표준자원관리팀-통신장비/통신전자장비담당1(유선장비담당),,,58,2014-12-24,2022-10-13,,A50032291,,활성,2
개스킷(GASKET),KDS (국방/정식),,공군,5330010131886,5330M53257047,개스킷,F-5E/F,,49.025.40,전체공개,공군-형상통제담당,기반전력사업표준자원관리팀-전투기규격담당,,,1,2015-11-04,2022-12-20,,F80000972,2022-12-16,활성,2
오-링,KDS (국방/정식),,해군,,5331M53347447,오-링,무장발사관,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,2,2016-12-26,,2020-10-14,N91010190,,폐지,0
오-링,KDS (국방/정식),,해군,5331375500765,5331M53347448,오-링,209급 잠수함,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-12-26,2022-10-13,,N91010190,2023-12-28,활성,3
고무 링,KDC (국방/약식),,해군,,5330M53280947,고무 링,잠수함(SS-2) 폐기계통,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-04-20,,,N91010175,2022-03-30,비활성,0
오-링,KDC (국방/약식),,해군,,5331M53280945,오-링,잠수함(SS-2) 해수 냉각펌프,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,2,2016-04-15,,,N91010174,2022-03-30,비활성,0
링-링,KDC (국방/약식),,해군,,5331M53280946,오-링,잠수함(SS-1) 해수 냉각펌프,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-04-15,,2020-10-14,N91010174,,폐지,0
개스킷,KDC (국방/약식),,해군,,5330M53280700,개스킷,잠수함(SS-I) 공기압축기,,83.040.20,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-04-15,,,N91010170,2022-03-30,비활성,0
오-링,KDS (국방/정식),,해군,,5331M53372047,오-링,잠수함(SS-1) 안전밸브,,23.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-12-26,,2020-10-14,N91010189,,폐지,0
개스킷,KDC (국방/약식),,해군,,5330M53280701,개스킷,잠수함(SS-II) 공기압축기,,83.040.20,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-04-15,,,N91010169,2022-03-30,비활성,0
"커플링,축용,가요성",KDS (국방/정식),,해군,,3010M53356446,"커플링,축용,가요성",수상함(PCC) 함안정기,,21.120.20,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,4,2016-12-26,2022-10-13,,N91010193,2022-03-30,활성,2
"케이블조립체,특수목적용,전기용",KDS (국방/정식),,해군,5995375368538,5995M53356345,"케이블 조립체,특수목적용,전기용",자기기뢰 소해구(MS MK4),,29.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-전투함담당,,,68,2016-12-09,2019-05-15,,N51009632,2022-03-30,활성,1
"패킹, 성형식",KDS (국방/정식),,해군,,5330M53347445,"패킹,성형식",어뢰 보상계통 안전정지밸브,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2016-12-26,2022-10-13,,N91010192,2022-03-30,활성,1
회로카드조립체,KDS (국방/정식),,해군,5998375378203,5998M53380543,회로카드 조립체,발전기배전반,,31.190,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-규격지원담당,,,48,2017-03-31,2022-10-13,,N51009626,,활성,1
회로카드조립체,KDS (국방/정식),,해군,5998375378204,5998M53380469,회로카드 조립체,발전기배전반,,31.190,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-규격지원담당,,,48,2017-03-31,2022-10-13,,N51009620,,활성,1
"가열기,온수용,전기식",KDS (국방/정식),,해군,4410375398566,4410M53655976,"가열기,온수용,전기식",잠수함(SS-I),,91.140.65,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,34,2017-12-22,2022-10-13,,N91010215,2024-03-29,활성,1
오-링,KDS (국방/정식),,해군,,5331M53657160,오-링,탐지잠망경,,83.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,2,2017-12-22,,,N91010212,2023-12-28,활성,0
"필터 엘리먼트,유체용",KDS (국방/정식),,해군,,4330M53657175,"필터 엘리먼트,유체용",동력공급기,,23.100.60,전체공개,해군-형상통제담당,미래전력사업표준자원관리팀-전자전/레이더장비담당(전자장비담당),,,5,2017-12-22,2022-10-13,,N51009682,,활성,1
디스크.밸브용,KDS (국방/정식),,해군,4820375422444,4820M53712364,"디스크,밸브용",잠수함(SS-1),,23.060,전체공개,해군-형상통제담당,기반전력사업표준자원관리팀-잠수함담당,,,1,2018-11-23,2022-10-13,,N91010277,,활성,2
"함상복,해군용(난연성)",KDS (국방/정식),,해군,8415375462866,8415M53817682,"바지,위장무늬형","함상복,해군용(난연성)(JNA-3132)",,61.020,전체공개,,미래전력사업표준자원관리팀-피복/장구류담당1(섬유담당),,,1,2020-05-15,2023-03-07,,,,활성,3
식품류 검사기준,KDS (국방/표준),,방위사업청,,1000M53785857,식품류 검사기준,식품류검사기준,,95.020,전체공개,방위사업청-국방표준서담당,기반전력사업표준자원관리팀-규격지원담당,,,1,2019-10-25,,,,,활성,0
국방품질경영체제 - 요구사항,KDS (국방/표준),,방위사업청,,1000M53785859,국방품질경영시스템 - 요구사항,품질경영시스템요구서,,95.020,전체공개,,기반전력사업표준자원관리팀-규격지원담당,,,1,2019-10-25,2023-09-05,,,,활성,1
추진제의 안정제 함량 분석시험법(용매추출법),KDS (국방/표준),,육군,,4925M53886913,국방표준서(용매추출법),탄약류,,95.020,전체공개,육군-형상통제담당,기반전력사업표준자원관리팀-탄약담당,,,1,2021-05-16,,,,,활성,0
천막수리용 액상 접합제,KDS (국방/표준),,방위사업청,,8040M53885981,천막수리용 액상 접합제,화학 일반,KDS 8040-0004,71.100,전체공개,방위사업청-유류담당,미래전력사업표준자원관리팀-유류담당,,,1,2021-03-14,,,,,활성,0
군용항공기 주요안전품목 선정 및 관리,KDS (국방/표준),,국방기술품질원,,4240M53976666,주요안전품목 선정 및 관리,항공,,01.110,전체공개,,기반전력사업표준자원관리팀-규격지원담당,,,1,2022-12-19,,,,,활성,0
차륜형 차량의 제동편향 성능기준,KDS (국방/표준),,방위사업청,,4240M54105321,차륜형 차량의 제동편향 성능기준,국방표준서제정,,01.120,전체공개,방위사업청-국방표준서담당,기반전력사업표준자원관리팀-규격지원담당,,,1,2024-02-13,,,,,활성,0
수상함정 확장형함정작업분할구조,KDS (국방/표준),,방위사업청,,4240M54105322,수상함정 확장형함정작업분할구조,국방표준서제정,,01.120,전체공개,방위사업청-국방표준서담당,기반전력사업표준자원관리팀-규격지원담당,,,1,2024-02-13,,,,,활성,0
활성탄 이용 직물의 흡착성능 시험법,KDS (국방/표준),,국방기술품질원,,4240M54095134,활성탄 이용 직물의 흡착성능 시험,활성탄 이용 직물,,71.040.40,전체공개,,기반전력사업표준자원관리팀-규격지원담당,,,1,2023-11-03,,,,,활성,0
수윤활베어링 내마모시험법,KDS (국방/표준),,국방기술품질원,,,,수상함,,21.100,전체공개,,기반전력사업표준자원관리팀-규격지원담당,,,1,2024-05-10,,,,,활성,0
군용항공기 생산확인 평가기준,KDS (국방/표준),,국방기술품질원,,4240M54098606,군용항공기 생산확인 평가기준,군용항공기,,49.035,전체공개,,기반전력사업표준자원관리팀-규격지원담당,,,1,2023-12-13,,,,,활성,0
저궤도 인공위성 지상시험방법 및 환경조건,KDS (국방/표준),,방위사업청,,4240M54105323,저궤도 인공위성 지상시험 방법 및 환경조건,국방표준서제정,,01.120,전체공개,방위사업청-국방표준서담당,기반전력사업표준자원관리팀-규격지원담당,,,1,2024-02-13,,,,,활성,0
탄약 색상 코딩,KDS (국방/표준),,방위사업청,,4240M54105325,탄약 색상 코딩,국방표준서제정,,01.120,전체공개,방위사업청-국방표준서담당,기반전력사업표준자원관리팀-규격지원담당,,,1,2024-02-13,,,,,활성,0
