표준 번호,표준 제정 번호,표준 분류,표준 명,표준 상태,제정 년도,제정기관 표준이력,관련 사이트,표준 개요,표준 요약
MND-IETF RFC 3416,Version 2 of the Protocol Operations for the Simple Network Management Protocol (SNMP),DITA 2023 v3,SNMP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3416,"본 표준은 SNMPv2 프로토콜 동작과 분산관리에 의한 트래픽량 감소, GetBulkRequest 기능 등 추가한 내용을 정의함",생략,생략
MND-IETF RFC 3417,Transport Mappings for the Simple Network Management Protocol (SNMP),DITA 2023 v3,SNMP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3417,본 표준은 단순망관리프토토콜(SNMP)의 전송 계층 매핑관계를 정의함,생략,생략
MND-IETF RFC 3418,"Management Information Base (MIB) for the Simple Network Management Protocol (SNMP), December 2002",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3418,본 표준은 TCP/IP 기반 망을 관리하기 위해 필요한 단순 망 관리 프로토콜(Simple Network Management Protocol) 엔티티의 행위를 기술하는 관리 객체를 정의함.,생략,생략
MND-IETF RFC 3428,"Session Initiation Protocol(SIP) Extension for Instant Messaging, December 2002",DITA 2023 v3,SIP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3428,"RFC 3428에서는 Message Method의 사용법과 형태를 설명하고 있다. Message는 Dialog를 생성하면서 전달 할 수 있으며, 이미 생성된 Dialog를 통해서도 전달이 가능하다.",생략,생략
MND-IETF RFC 3462,"The Multipart/Report Content Type for the Reporting of Mail System Administrative Messages, January ",DITA 2023 v3,MIME,사양(Retired),IETF,www.rfc-editor.org/info/rfc3462,"본 기술은 전송 상태 결과 서비스를 기술한 4개의 문서 중 하나를 기술한다. 본 문서는 전송 상태 결과, 전송 결과에 대한 MIME 콘텐츠, 확장 상태 코드 목록, 전송 결과에 대한 멀티 컨테이너, 사용자 편의성을 고려한 실패 결과 요약을 제공하는 SMTP 확장 기능이다.",생략,생략
MND-IETF RFC 3494,"Lightweight Directory Access Protocol version 2 (LDAPv2) to Historic Status, March 2003",DITA 2023 v3,LDAP,사양(Retired),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3494.txt.pdf,본 표준은 LDAP(Lightweight Directory Access Protocol) 버전 2를 제시한 표준으로 온라인 디렉토리 서비스를 접근하기 위한 인터넷 프로토콜을 정의한다.,생략,생략
MND-IETF RFC 3501,"Internet Message Access Protocol, Version 4rev1, March 2003",DITA 2023 v3,IMAP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3501,"IMAP4rev1은 클라이언트 접속을 허가하고, 전자 메일 서버를 조종한다. IMAO4rev1은 메일 박스를 로컬 폴더를 사용하는 것과 같은 기능을 허가한다. 또한 IMAO4rev1은 오프라인에서의 클라이언트와 서버간의 재동기 능력을 제공한다.",생략,생략
MND-IETF RFC 3526,"More Modular Exponential (MODP) Diffie-Hellman Groups for Internet Key Exchange (IKE), April 2002",DITA 2023 v3,IPSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3526.txt.pdf,본 표준은 인터넷 키 교환(IKE) 프로토콜을 위한 새로운 MODP (Modular Exponential) 그룹을 정의한다.,생략,생략
MND-IETF RFC 3550,"RTP: A Transfer Protocol for Real-Time Applications, July 2003",DITA 2023 v3,RTP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3550,본 표준은 실시간으로 음성이나 영상을 송수신하기 위한 트랜스포트 계층의 통신 규약을 정의함.,생략,생략
MND-IETF RFC 3551,"RTP Profile for Audio and Video Conferences with Minimal Control, July 2003",DITA 2023 v3,RTP,필수(Mandated),IETF,www.ietf.org/rfc/rfc3551.txt,최소한의 제어로 오디오와 비디오 다중회의를 위한 RTPv2와 RTCP 프로파일 규격임.,생략,생략
MND-IETF RFC 3554,"On the Use of Stream Control Transmission Protocol (SCTP) with IPsec, July 2003",DITA 2023 v3,IPSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3554.txt.pdf,본 표준은 IPsec 및 IKE에 대한 기능적 요구사항을 제공한다.,생략,생략
MND-IETF RFC 3560,"Use of the RSAES - OAEP Key Transport Algorithm in Cryptographic Message Syntax (CMS), July 2003",DITA 2023 v3,PKCS,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3560.txt.pdf,"본 표준은 암호문 메시지(CMS)에 RSAES-OAEP 키 전송 방식의 적용을 정의한다. CMS는 암호화 데이터와 암호화 키를 전송할 수 있으며, RSAES-OAEP 키 전송 방식은 수신자에게 암호화 키를 전송하는데 이용된다.",생략,생략
MND-IETF RFC 3585,"IPsec Configuration Policy Information Model, August 2003",DITA 2023 v3,IPSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3585.txt.pdf,본 표준은 IPsec 정책의 객체 지향 정보 모델을 제공한다.,생략,생략
MND-IETF RFC 3586,"IP Security Policy Requirements, August 2003",DITA 2023 v3,IPSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3586.txt.pdf,본 표준은 IPSP(IP Security Policy) 구성 및 관리 프레임워크 개발을 위한 보안 요구사항을 제공한다.,생략,생략
MND-IETF RFC 3587,"IPv6 Global Unicast Address Format, August 2003",DITA 2023 v3,IPv6,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3587,본 표준은 ICMPv6에 사용되는 control message에 대해 format을 기술한다. ICMPv6는 Internet Protocol Version 6에서 사용되는 Internet Control Message Protocol이다.,생략,생략
MND-IETF RFC 3591,"Definitions of Managed Objects for the Optical Interface Type, September 2003",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3591,본 표준은 MIB II를 이용해서 Optical 객체들을 관리 방법으로 Optical 장비들의 모니터링 할 수 있도록 하는 인터페이스에 대한 기술 문서임.,생략,생략
MND-IETF RFC 3595,"Textual Conventions for IPv6 Flow Label, September 2003",DITA 2023 v3,IPv6,미래(Emerging),IETF,www.rfc-editor.org/info/rfc3595,본 표준은 IPv6 Flow Label을 표현하기 위한 Textual Convention을 정의함. TCs(Textual Conventions)를 MIB 모듈에 포함하여 사용하는 목적은 IPv6을 사용하는 장비 자체를 표현하기 위한 정의임.,생략,생략
MND-IETF RFC 3596,"DNS Extensions to Support IP Version 6, October 2003",DITA 2023 v3,IPv6,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3596,DNS 이름 mapping을 다루는 IPv6 RRs와 IPv6를 위한 필수 표준으로 IPv6를 지원하기 위한 DNS의 확장을 명세한다.,생략,생략
MND-IETF RFC 3620,"The TUNNEL Profile, October 2003",DITA 2023 v3,침해대응,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3620.txt.pdf,본 표준은 BEEP peer가 응용 계층 프락시로서 서비스될 수 있도록 하는 BEEP(Blocks Extensible Exchange Protocol) 프로파일을 정의한다.,생략,생략
MND-IETF RFC 3629,"UTF-8, a transformation format of ISO 10646, November 2003",DITA 2023 v3,UTF,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3629,"본 표준은 16 비트 유니코드 문자들을 7 비트, 8 비트 혹은 16비트 문자로 변환하기 위한 기술 규격을 정의함.",생략,생략
MND-IETF RFC 3635,"Definitions of Managed Objects for the Ethernet-like Interface Types, September 2003",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3635,"본 표준은 인터넷 커뮤니티 네트워크 관리 프로토콜로 사용되기 위한 관리 정보 베이스 (MIB)의 일부를 정의하고 있음. 특별히 이 문서는 이더넷(Ethernet)과 유사한 형태의 인터페이스를 관리하기위한 오브젝트를 정의하고 있음. 10Gb/s 이더넷 인터페이스 정보를 관리하기위한 MIB를 추가하여, 기존 RFC 2665를 대체하고 있음.",생략,생략
MND-IETF RFC 3645,"Generic Security Service Algorithm for Secret Key Transaction Authentication for DNS (GSS-TSIG), Oct",DITA 2023 v3,DNS 보안,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3645.txt.pdf,본 표준은 DNS에서 비밀 공유 및 단방향 해쉬를 사용한 트랜잭션 레벨 인증 프로토콜을 정의한다.,생략,생략
MND-IETF RFC 3647,"Internet X.509 Public Key Infrastructure Certificate Policy and Certification Practices Framework, N",DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3647.txt.pdf,본 표준은 공개키 기반구조 내의 인증서 정책 또는 인증업무준칙의 작성자를 위한 프레임워크을 제공한다.,생략,생략
MND-IETF RFC 3666,"Session Initiation Protocol (SIP) Public Switched Telephone Network (PSTN) Call Flows, December 2003",DITA 2023 v3,SIP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3666,게이트웨이를 이용한 SIP와 PSTN과의 인터워킹 제공을 위한 SIP 호 흐름 예를 기술한다.,생략,생략
MND-IETF RFC 3706,"A Traffic-Based Method of Detecting Dead Internet Key Exchange (IKE) Peers, Februry 2004",DITA 2023 v3,IPSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3706.txt.pdf,본 표준은 동작하지 않는 IKE peer를 탐지하는 방식을 명세한다.,생략,생략
MND-IETF RFC 3711,"The Secure Real-Time Transport Protocol (SRTP), March 2004",DITA 2023 v3,SRTP,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3711.txt.pdf,"본 표준은 오디오, 비디오와 같은 실시간 데이터를 전송할 때 적합한 실시간 전송 프로토콜의 기밀성, 메시지 인증, 재생 공격 방어를 제공하는 안전한 실시간 전송 프로토콜에 대하여 정의한다.",생략,생략
MND-IETF RFC 3739,"Internet X.509 Public Key Infrastructure : Qualified Certificates Profile, March 2004",DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3739.txt.pdf,본 표준은 RFC3280을 참조하고 있으며 자연인에게 신원 인증서를 발급하기 위해 인증서 프로파일을 정의한 표준이다.,생략,생략
MND-IETF RFC 3748,"Extensible Authentication Protocol(EAP), June 2004",DITA 2023 v3,LAN 보안,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3748.txt.pdf,본 표준은 휴대 인터넷 망 접속 인증을 위해 EAP 기반 인증 방식을 정의한 표준이다.,생략,생략
MND-IETF RFC 3749,"Transport Layer Security Protocol Compression Methods, May 2004",DITA 2023 v3,TLS,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3749.txt.pdf,본 표준은 TLS에서 무손실 데이터 압축 알고리즘과 연관된 추가적인 압축 방식을 정의한다.,생략,생략
MND-IETF RFC 3767,"Securely Available Credentials Protocol, June 2004",DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3767.txt.pdf,본 표준은 특정 사용자의 환경설정이 아닌 사용자가 신뢰할 수 있는 소프트웨어를 설치한 워크스테이션을 통하여 자격증명서 서버로부터 암호법의 자격 증명서를 요구할 수 있는 프로토콜을 설명한 표준이다.,생략,생략
MND-IETF RFC 3779,"X.509 Extensions for IP Addresses and AS Identifiers, June 2004",DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3779.txt.pdf,"본 표준은 X.509 v3 인증서 확장을 정의한 표준으로, 인증서의 주체명에 주소 블록 목록과 독립 시스템 식별자를 연결하여 IP주소를 사용하기 위한 주체명의 허가를 전달하는데 사용된다.",생략,생략
MND-IETF RFC 3810,"Multicast Listener Discovery Version 2 (MLDv2) for IPv6, June 2004",DITA 2023 v3,IPv6,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3810,본 표준은 MLD를 IPv6 라우터에서 링크에 바로 연결된 멀티캐스트 리스너를 찾고 그 이웃 노드들의 특정 멀티캐스트 주소를 찾는 데 정의 되어 있다.,생략,생략
MND-IETF RFC 3820,"Internet X.509 Public Key Infrastructure (PKI) Proxy Certificate Profile, June 2004",DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3820.txt.pdf,"본 표준은 인터넷에서의 사용을 위해, RFC 3280에서 정의한 바와 같이 X.509 PKI 인증서에 기반한 프록시 인증서를 위한 인증서 프로파일을 정의한다.",생략,생략
MND-IETF RFC 3826,The Advanced Encryption Standard (AES) Cipher Algorithm in the SNMP User-based Security Model,DITA 2023 v3,SNMP,미래(Emerging),IETF,www.rfc-editor.org/info/rfc3826,본 표준은 SNMPv3이 가지고 있는 사용자기반의 보안모델(USM)에 대한암호화 프로토콜을 정의함,생략,생략
MND-IETF RFC 3830,"MIKEY: Multimedia Internet KEYing, August 2004",DITA 2023 v3,MSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3830.txt.pdf,"본 표준은 실시간 응용서비스에서 사용될 수 있는 키 관리 스킴을 정의한다. 특히, 본 표준은 SRTP(Secure Real-time Transport Protocol)을 지원하기 위해 고안되었다.",생략,생략
MND-IETF RFC 3854,"Securing X.400 Content with Secure/Multipurpose Internet Mail Extensions (S/MIME), July 2004",DITA 2023 v3,S/MIME,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc3854.txt.pdf,본 표준은 S/MIME X.400 컨텐츠에 암호학적 서명과 암호 서비스를 추가하기 위한 프로토콜을 정의한다.,생략,생략
MND-IETF RFC 3963,"Network Mobility (NEMO) Basic Support Protocol, January 2005",DITA 2023 v3,Mobile IPv4,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3963,"본 표준은 망 이동성을 지원하기 위해 이동 라우터라는 새로운 장비가 필요하게 된다. 이동 라우터는 홈 에이전트와 양방향 터널을 이용하여 통신을 함으로써 네트워크의 다른 단말들이 인터넷에 접속할 수 있도록 지원하고, 망이 이동하더라도 이동 라우터 이외의 단말은 별다른 변화 없이 기존의 방법대로 계속 통신할 수 있도록 정의하고 있다.",생략,생략
MND-IETF RFC 3966,"The tel URI for Telephone Numbers, Internet proposed standard RFC 3966, December 2004",DITA 2023 v3,URI,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3966,본 문서는 인터넷 식별자 시키마에 대한 규격임. URI는 전화번호에 의한 식별을 기술한다.,생략,생략
MND-IETF RFC 3971,"SEcure Neighbor Discovery (SEND), March 2005",DITA 2023 v3,IPv6,미래(Emerging),IETF,www.rfc-editor.org/info/rfc3971,본 표준은 Neighbor Discovery Protocol (NDP)에 대한 위험 요소를 방지하기 위한 필수적인 표준이다.,생략,생략
MND-IETF RFC 3986,"Uniform Resource Identifier (URI): Generic Syntax, January 2005",DITA 2023 v3,URI,필수(Mandated),IETF,www.rfc-editor.org/info/rfc3986,"URI는 그것이 텍스트의 한 페이지나, 비디오 또는 사운드 클립이든, 정지 화상이든 동영상이든, 또는 프로그램이든 상관없이, 이러한 콘텐츠 들 중 어느 하나를 인식하기 위한 수단임",생략,생략
MND-IETF RFC 4007,"IPv6 Scoped Address Architecture, March 2005",DITA 2023 v3,IPv6,미래(Emerging),IETF,www.rfc-editor.org/info/rfc4007,본 표준은 IPv6의 기본 아키텍처에 주소 범위의 개념으로 아키텍처의 특성과 예상되는 동작들을 규정하는 IPv6 규격 중 기본 규격의 일종임.,생략,생략
MND-IETF RFC 4022,"Management Information Base for the Transmission Control Protocol (TCP), March 2005",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4022,본 표준은 인터넷 커뮤니티 네트워크 관리 프로토콜로 사용되기 위한 관리 정보 베이스 (MIB)의 일부의 정의임. 특별히 이 문서는 IP 버전과 상관없는 TCP를 구현하는데 사용되는 관리 정보를 기술. 이 문서는 RFC 2452와 2012를 대체함.,생략,생략
MND-IETF RFC 4028,"Session Timers in the Session Initiation Protocol (SIP), April 2005",DITA 2023 v3,SIP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4028,본 표준은 SIP에서 새로운 업데이트를 위한 방법을 정의한 규격임.,생략,생략
MND-IETF RFC 4033,"DNS Security Introduction and Requirements, March, 2005",DITA 2023 v3,DNS 보안,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4033.txt.pdf,본 표준은 DNS 서비스에서 데이터 출처 인증 및 데이터 무결성을 제공하기 한 DNS 보안 확장(DNSSEC)에 대한 소개 및 고려사항을 정의한다.,생략,생략
MND-IETF RFC 4034,"Resource Records for the DNS Security Extensions, March, 2005",DITA 2023 v3,DNS 보안,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4034.txt.pdf,"본 표준은 DNS 보안 확장에서 DNS에 대한 근원지 인증을 제공하는 리소스 레코드를 다루고 있다. 또한 공개키(DNSKEY), 위임 서명자(DS), 리소스 레코드 디지털 서명(RRSIG) 등에 대해서 정의한다.",생략,생략
MND-IETF RFC 4035,"Protocol Modifications for the DNS Security Extensions, March, 2005",DITA 2023 v3,DNS 보안,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4035.txt.pdf,본 표준은 DNS 보안 확장 프로토콜 변형에 대해서 명세한다. 본 표준은 DNSSEC을 사용을 위한 serving과 resolving에 대한 요구사항과 함께 signed zone에 대한 개념이 정의된다.,생략,생략
MND-IETF RFC 4038,"Application Aspects of IPv6 Transition, March, 2005",DITA 2023 v3,IPv6,미래(Emerging),IETF,www.rfc-editor.org/info/rfc4038,본 표준은 IPv6으로 변경을 위해서 해야 할 Application 측면에서의 요구사항 들에 대한 표준이다.,생략,생략
MND-IETF RFC 4046,"Multicast Security (MSEC) Group Key Management Architecture, May 2005",DITA 2023 v3,MSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4046.txt.pdf,"본 표준은 멀티캐스트 보안키 관리 프로토콜을 위한 공통 구조를 정의하고 있으며, 이는 응용계층, 전송계층, 네트워크계층에 다양하게 사용 가능하고, 본 표준에서 정의하고 있는 구조 및 지침을 통해 다양한 설정이 가능하도록 그룹키 관리 프로토콜의 모듈과 유용성 있는 설계를 허용한다.",생략,생략
MND-IETF RFC 4055,Additional Algorithms and Identifiers for RSA Cryptography for use in the Internet X.509 Public Key ,DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4055.txt.pdf,본 표준은 인터넷 X.509 PKI에서 사용되는 전자서명과 공개키에 대한 알고리즘 식별자와 ASN.1 인코딩 형식을 기술한다.,생략,생략
MND-IETF RFC 4087,"IP Tunnel MIB, June 2005",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4087,인터넷 커뮤니티 네트워크 관리 프로토콜로 사용되기 위한 관리 정보 베이스 (MIB)의 일부의 정의임,생략,생략
MND-IETF RFC 4113,"Management Information Base for the User Datagram Protocol (UDP), June 2005",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4113,SNMPv2 Management Information Base for the User Datagram Protocol (UDP)는 UDP를 관리하기 위한 관리 객체들을 정의한 MIB 모듈에 대한 정의임.,생략,생략
MND-IETF RFC 4133,Entity MIB (Version 3) August 2005,DITA 2023 v3,MIB,사양(Retired),IETF,www.rfc-editor.org/info/rfc4133,"본 표준은 인터넷 커뮤니티 네트워크 관리 프로토콜로 사용되기 위한 관리 정보 베이스 (MIB)의 일부의 정의임. 특별히 본 표준은 하나의 SNMP 에이전트에서 관리되는 다중의 논리적, 물리적 속성으로 이용되는 개체를 정의함. 본 표준은 RFC 2737을 대체함.",생략,생략
MND-IETF RFC 4188,"Definitions of Managed Objects for Bridges, September 2005",DITA 2023 v3,MIB,사양(Retired),IETF,www.rfc-editor.org/info/rfc4188,TCP/IP 기반 인터넷에서 네트워크 관리 프로토콜에 사용되는 MIB 일부에 대한 규격,생략,생략
MND-IETF RFC 4193,"Unique Local IPv6 Unicast Addresses, 2005.",DITA 2023 v3,IPv6,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4193,본 표준은 전 세계 고유 로컬 통신을 위한 것으로 IPv6 유니 캐스트 주소 형식을 정의한다.,생략,생략
MND-IETF RFC 4210,"Internet X.509 Public Key Infrastructure Certificate Management Protocol (CMP), September 2005",DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4210.txt.pdf,"본 표준은 인증서를 인증기관-인증기관, 인증기관-이용자(End-entity), 이용자-이용자 등 각 개체 사이에서 인증서 발급 및 이용 시 사용되는 프로토콜을 정의한다.",생략,생략
MND-IETF RFC 4211,"Internet X.509 Public Key Infrastructure Certificate Request Message Format (CRMF), September, 2005",DITA 2023 v3,X.509,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4211.txt.pdf,본 표준은 디지털 인증서 발급 시 필요한 인증서 요청 메시지 형식을 규정하는 표준이다,생략,생략
MND-IETF RFC 4213,Transition Mechanisms for IPv6 Hosts and Routers August 2000,DITA 2023 v3,IPv6,필수(Mandated),,www.rfc-editor.org/info/rfc4213,본 표준은 IPv4에서 IPv6로 네트워크가 전환하는 시점에 IPv6 호스트와 라우터에서 구현되는 IPv4 호환 메커니즘에 관하여 기술한다.,생략,생략
MND-IETF RFC 4250,"The Secure Shell (SSH) Protocol Assigned Numbers, January 2006",DITA 2023 v3,SSH,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4250.txt.pdf,본 표준은 SSH의 초기 프로토콜 할당 번호를 부여하는 방식을 정의한 표준이다.,생략,생략
MND-IETF RFC 4251,"The Secure Shell (SSH) Protocol Architecture, January 2006",DITA 2023 v3,SSH,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4251.txt.pdf,본 표준은 SSH(Secure Shell) 아키텍처에 관해 정의한 표준이다.,생략,생략
MND-IETF RFC 4252,"The Secure Shell (SSH) Authentication Protocol, January 2006",DITA 2023 v3,SSH,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4252.txt.pdf,본 표준은 SSH(Secure Shell)에서의 인증을 정의한 표준으로 불안정한 네트워크상에서 안전한 원격 로그인 및 안전한 네트워크 서비스를 제공한다.,생략,생략
MND-IETF RFC 4253,"The Secure Shell (SSH) Transport Layer Protocol, January 2006",DITA 2023 v3,SSH,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4253.txt.pdf,본 표준은 SSH의 Transport Layer Protocol에 대해 설명한 표준이다.,생략,생략
MND-IETF RFC 4254,"The Secure Shell (SSH) Connection Protocol, January 2006",DITA 2023 v3,SSH,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4254.txt.pdf,본 표준은 SSH의 Connection Protocol에 대해 설명한 표준이다.,생략,생략
MND-IETF RFC 4271,"A Border Gateway Protocol 4 (BGP-4), January 2006",DITA 2023 v3,BGP,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4271,"제공자 간의 통신에 사용되는 경로 지정 통신 규약으로 RFC 1771에 규정되어 있다. 동적(動的)으로 경로를 결정할 때 라우터 간에 경로 정보를 주고받기 위해 사용된다. 인터넷 프로토콜(IP)의 라우팅 프로토콜에는 BGP-4 외에 RIP, 최단 경로 우선 프로토콜(OSPF) 등이 있다. BGP-4가 RIP나 OSPF와 다른 점은 각기 다른 자율 시스템 간에 경로 정보를 주고받을 수 있음.",생략,생략
MND-IETF RFC 4273,"Definitions of Managed Objects for BGP-4, January 2006",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4273,"본 표준은 TCP/IP 기반의 인터넷 커뮤니티에서 망 관리 프로토콜을 사용하기 위한 MIB를 정의. 특히, BGP(Border Gateway Protocol) version 4 또는 그 이하 버전을 관리하기 위한 객체를 정의함.",생략,생략
MND-IETF RFC 4291,"IP Version 6 Addressing Architecture, February 2006",DITA 2023 v3,IPv6,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4291,"본 표준은 IPv6의 주소체계를 정의한다. 또한 IPv6의 주소표현방식 및 통신방식(Unicast, Multicast, Anycast)에 대해 기술한다.",생략,생략
MND-IETF RFC 4292,"IP Forwarding Table MIB, April 2006",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc7292,본 표준은 인터넷 커뮤니티 네트워크 관리 프로토콜로 사용되기 위한 관리 정보 베이스 (MIB)의 일부의 정의임. 특별히 본 표준은 IP 버전과 독립적인 인터넷 프로토콜 패킷의 포워딩과 연관된 관리 개체를 기술. 본 문서는 RFC 2096을 대체함.,생략,생략
MND-IETF RFC 4293,"Management Information Base for the Internet Protocol (IP), April 2006",DITA 2023 v3,MIB,필수(Mandated),IETF,www.rfc-editor.org/info/rfc4293,본 표준은 TCP/IP 기반의 인터넷 망 관리 프로토콜이 사용하는 MIB-II(주1)를 정의함.,생략,생략
MND-IETF RFC 4295,"Mobile IPv6 Management Information Base, April 2006",DITA 2023 v3,MIB,미래(Emerging),IETF,www.rfc-editor.org/info/rfc4295,"본 표준은 인터넷 커뮤니터의 네트워크관리 프로토콜이며, 모바일 노드, 홈 에이전트와 모바일 IPv6를 엔티티 노드 기능을 제어하고 모니터링하는 객체를 정의함.",생략,생략
MND-IETF RFC 4301,"Security Architecture for the Internet Protocol, December 2005",DITA 2023 v3,IPSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4301.txt.pdf,본 표준은 인터넷 프로토콜을 위한 보안구조를 정의한 표준이다.,생략,생략
MND-IETF RFC 4302,"IP Authentication Header, December 2005",DITA 2023 v3,IPSec,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4302.txt.pdf,본 표준은 인터넷 프로토콜 상에서 인터넷 프로토콜 패킷을 보호하기 위한 데이터 발신처 인증 및 비연결형 무결성을 제공하는 표준이다.,생략,생략
MND-IETF RFC 4303,"IP Encapsulating Security Payload (ESP), December 2005",DITA 2023 v3,IPSec,필수(Mandated),,www.rfc-editor.org/rfc/pdfrfc/rfc4303.txt.pdf,"본 표준은 인터넷 프로토콜 상에서 ESP 패킷 형식, ESP 프로세싱 등을 기술한 표준이다.",생략,생략
MND-IETF RFC 4306,"Internet Key Exchange (IKEv2) Protocol, December 2005",DITA 2023 v3,IPSec,사양(Retired),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4306.txt.pdf,"본 표준은 조건부 발효된 암호화 표준(Escrowed Encryption Standard, ESS)으로 SKIPJACK 알고리즘에 대해 정의한다.",생략,생략
MND-IETF RFC 4330,"Simple Network Time Protocol (SNTP) Version 4 for IPv4, IPv6 and OSI, January 2006",DITA 2023 v3,NTP,사양(Retired),IETF,www.rfc-editor.org/info/rfc4330,"NTP(Network Time Protocol)는 IP 네트워크상에서 두 개의 컴퓨터 사이에 클럭을 동기화하기 위해 시간을 교환할 수 있도록 만들어진 프로토콜로 NTP Ver3은 RFC 1305에 공인되었으며, Ver4는 현재 제정 중이며 RFC에서 공인되지 않았음. SNTP (Simple NTP) Ver4는 RFC 2030에 설명되어 있음.",생략,생략
MND-IETF RFC 4334,Certificate Extensions and Attributes Supporting Authentication in Point-to-Point (PPP) and Wireless,DITA 2023 v3,LAN 보안,필수(Mandated),IETF,www.rfc-editor.org/rfc/pdfrfc/rfc4334.txt.pdf,본 표준은 무선랜 시스템 서비스 식별자(SSID)를 전달하기 위한 두 개의 EAP 확장 키 사용목적 값과 공개키 인증서 확장을 정의한다.,생략,생략
MND-IETF RFC 4338,"Transmission of IPv6, IPv4 and Address Resolution Protocol(ARP) Packets  Over Fibre Channel, January",DITA 2023 v3,IPv6,필수(Mandated),,www.rfc-editor.org/info/rfc4338,"본 표준은 IPv6, IPv4의 캡슐화, 파이버 채널을 통한 ARP 방법을 지정하는 규격으로 IPv6 규격 중 기본 규격의 일종임.",생략,생략
